nr,bpm,spec flat,spec skew,kurt,zero cross,hpss,vocal,bin1,bin2,bin3,bin4,bin5,bin6,bin1 mean freq,bin1 std,bin1 q25,bin1 q75,bin2 mean freq,bin2 std,bin2 q25,bin2 q75,bin3 mean freq,bin3 std,bin3 q25,bin3 q75,bin4 mean freq,bin4 std,bin4 q25,bin4 q75,bin5 mean freq,bin5 std,bin5 q25,bin5 q75,bin6 mean freq,bin6 std,bin6 q25,bin6 q75
47,117,691,2,6.885081924547189,74410,1,0,393271,29,13,7,0,1,0.0,0.0,0.0,0.0,5.082954e-07,4.7944545e-06,1.7328172507991013e-09,6.5490695533299e-08,0.00046387213,0.000101620266,0.0003744341083802283,0.0005426077987067401,0.00080689037,8.826834e-05,0.0007060164934955537,0.0008598706917837262,0.0011049289,8.805667e-05,0.0010324284085072577,0.0011558679398149252,0,0,0,0
48,99,0,2,0.5336978835859254,19967,1,0,387062,986,264,80,18,9,0,0,0,0,8.315149e-07,5.2386326e-06,1.2903958051762687e-14,2.670848004565629e-11,0.0001183974,2.3640421e-05,9.863663763098884e-05,0.00013580876839114353,0.0002071453,2.2835251e-05,0.0001886004720290657,0.00022547124899574555,0.00029678532,2.2594968e-05,0.0002769047496258281,0.00031497775489697233,0.00037945944,2.2447124e-05,0.0003583376092137769,0.00039387995639117435
49,129,258,2,0.8285248905730134,77714,1,0,392931,286,68,25,8,3,0,0,0,0,1.5361887e-06,9.14334e-06,2.1478856471190966e-09,2.0442048764834908e-07,0.00032783212,6.465393e-05,0.0002716316230362281,0.00038023959496058524,0.0005578307,6.1786915e-05,0.0005106927274027839,0.0005995967367198318,0.000778208,6.3987834e-05,0.000726754660718143,0.0008014184422791004,0.0010110734,6.26931e-05,0.0009709279984235764,0.0010323608003091067
50,135,0,2,6.121032093542784,50615,1,0,393230,56,21,8,2,4,0.0,0.0,0.0,0.0,8.007569e-07,6.903945e-06,6.394259579288464e-12,5.405521585899464e-09,0.00070182513,0.00014062862,0.0005787767586298287,0.0008288487588288262,0.0011999384,0.00010801673,0.0011287776287645102,0.0012279243674129248,0.0016785688,0.000120866134,0.0015798367385286838,0.0018157104786951095,0.0020995685,0.000111233094,0.002043951826635748,0.002155184920411557
51,129,1226,2,-0.0046019483697192776,126871,1,0,383429,273,40,23,8,2,0,0,0,0,6.7566675e-06,2.6816415e-05,1.176422301796265e-07,3.797105364355957e-06,0.0006682446,0.00012972856,0.0005599885480478406,0.0007526810513809323,0.0012476627,0.0001474764,0.0011190260120201856,0.0013547832786571234,0.0017780814,0.0001405891,0.0016414636629633605,0.001898803049698472,0.0022083647,0.000111923066,0.0021155942231416702,0.002325020672287792
52,95,328,2,1.0270338588790588,57226,1,0,392652,499,119,29,15,7,0.0,0.0,0.0,0.0,1.8367667e-06,1.1674637e-05,2.3890406875004544e-09,1.4556187721836977e-07,0.00032790314,6.484844e-05,0.0002709129039430991,0.00037580932257696986,0.00057196507,6.5671025e-05,0.0005172499804757535,0.0006076476711314172,0.0008474733,6.7669695e-05,0.0007813271367922425,0.0008995076059363782,0.0010820889,6.264742e-05,0.0010312942322343588,0.0011424129479564726
53,117,917,2,2.029276307285958,93292,0,1,393035,152,74,36,19,5,0,0,0,0,2.1377996e-06,1.5919777e-05,2.0672522360598578e-08,4.5858455166580825e-07,0.0008214942,0.00016506252,0.0006691355229122564,0.0009807265596464276,0.0014002108,0.00016966001,0.001241765625309199,0.001545624661957845,0.0018663044,0.00013563433,0.001745874498737976,0.001958649721927941,0.0024575994,0.00014259791,0.0023413649760186672,0.0025634090416133404
54,151,252,2,2.306427887788211,42298,0,1,392962,254,41,34,21,9,0,0,0,0,1.0761125e-06,8.027886e-06,7.710096727731042e-10,8.348955482517795e-08,0.0002473886,4.8427984e-05,0.00020860131553490646,0.0002782229203148745,0.00047228998,5.6561337e-05,0.0004297033592592925,0.0005283919163048267,0.0006616027,5.3705462e-05,0.0006159334006952122,0.0006994538707658648,0.0008668331,5.8872098e-05,0.0008127809851430357,0.0009205852402374148
55,151,290,2,1.6570178996004614,54613,1,1,392938,287,50,32,8,6,0,0,0,0,1.5083152e-06,8.706142e-06,1.0489578927685983e-09,1.558852638083863e-07,0.00027800104,5.6849065e-05,0.00022898233874002472,0.0003226932749385014,0.00047333076,5.4066197e-05,0.00042562511953292415,0.0005196361889829859,0.0006705028,5.545325e-05,0.0006152303976705298,0.0007220014813356102,0.0008475543,2.6656759e-05,0.0008267920929938555,0.0008671069808769971
56,80,14,2,0.9310079840012833,41683,1,0,392968,259,75,12,5,2,0,0,0,0,1.2658868e-06,8.669986e-06,8.121969416463592e-11,3.612642895944873e-08,0.0003410003,6.924669e-05,0.00027614840655587614,0.0004005691152997315,0.000582827,6.333221e-05,0.0005346138495951891,0.0006247712881304324,0.0008442505,8.41759e-05,0.0007728437631158158,0.000928048524656333,0.001051276,3.6813854e-05,0.0010189998429268599,0.0010782898170873523
